Año,Mes,Fecha_Pub_DOF,Clave ciudad,Nombre ciudad,División,Grupo,Clase,Subclase,Clave genérico,Genérico,Consecutivo,Especificación,Precio promedio,Cantidad,Unidad,Estatus
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,1,"EN PZAS, PIERNA, A GRANEL                                   ",55,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,2,"EN PZAS, MUSLO, A GRANEL                                    ",63.75,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,3,"EN PZAS, PIERNA, A GRANEL                                   ",85.75,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,4,"EN PZAS, PECHUGA, A GRANEL                                  ",97.5,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,5,"ENTERO, A GRANEL                                            ",85,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,6,"BACHOCO, ENTERO, A GRANEL                                   ",38.5,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,7,"ENTERO, A GRANEL                                            ",61.25,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,8,"ENTERO, A GRANEL                                            ",63.75,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,9,"EN PZAS, ALAS, A GRANEL                                     ",61.25,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,10,"EN PZAS, PECHUGA, C/HUESO, A GRANEL                         ",91.25,1,KG    ,
2024,1,22/02/2024 12:00:00 a. m.,40,"Cuernavaca, Mor.","1. Alimentos, bebidas y tabaco",1.1. Alimentos,1.1.2. Carnes,05 Carne de ave,22,Pollo,11,"ENTERO, A GRANEL                                            ",54.25,1,KG    ,
