"student_id","age","gender","high_school_gpa","sat_score","university_ranking","university_gpa","field_of_study","internships_completed","projects_completed","certifications","soft_skills_score","networking_score","job_offers","starting_salary","career_satisfaction","years_to_promotion","current_job_level","work_life_balance","entrepreneurship","starting_salary_category"
"S00003",28,"Female",3.42,1193,715,2.63,"Medicine",4,8,1,1,9,0,42400,9,3,"Entry",7,"No","Medio"
"S00011",28,"Female",2.95,1120,594,2.87,"Mathematics",2,7,5,8,1,5,26300,9,1,"Entry",2,"No","Bajo"
"S00018",23,"Male",3.49,1112,472,3.94,"Mathematics",4,0,5,5,2,5,61800,1,5,"Senior",1,"No","Alto"
"S00019",22,"Female",3.72,1523,131,3.44,"Mathematics",0,8,5,3,4,5,32200,9,2,"Entry",7,"No","Medio"
"S00020",19,"Female",2.99,984,934,3.1,"Mathematics",0,4,1,5,3,2,45500,8,4,"Senior",8,"No","Medio"
"S00021",25,"Female",2.26,1415,898,2.54,"Medicine",0,1,5,8,10,5,42200,1,2,"Entry",9,"No","Medio"
"S00024",19,"Female",2.88,1245,201,3.36,"Medicine",3,0,3,9,10,2,48100,3,4,"Mid",5,"No","Medio"
"S00026",22,"Female",3.65,1142,342,3.69,"Medicine",2,2,1,2,8,4,48100,3,2,"Entry",5,"No","Medio"
"S00029",27,"Male",3.73,1340,216,3.33,"Medicine",1,0,3,1,9,3,50300,8,2,"Mid",6,"No","Medio"
"S00030",23,"Female",2.93,944,636,3.79,"Mathematics",4,1,5,8,1,0,38300,3,5,"Executive",4,"No","Medio"
"S00036",27,"Female",2.92,1190,418,3.21,"Medicine",3,1,0,4,4,0,70300,7,4,"Entry",3,"No","Alto"
"S00042",21,"Female",3.11,1205,14,2.69,"Mathematics",0,9,0,6,9,2,56300,2,2,"Entry",5,"No","Medio"
"S00043",26,"Female",2.36,1355,98,3.75,"Medicine",2,4,3,3,8,0,38400,10,4,"Senior",7,"No","Medio"
"S00044",20,"Male",2.94,1490,279,2.1,"Mathematics",1,2,4,5,9,4,53200,10,5,"Entry",8,"Yes","Medio"
"S00045",22,"Male",3.94,1200,940,3.02,"Mathematics",0,8,4,3,9,3,78700,7,5,"Entry",10,"Yes","Alto"
"S00055",19,"Male",2.39,1011,233,2.39,"Mathematics",4,9,5,4,10,4,67200,10,2,"Entry",3,"No","Alto"
"S00057",26,"Female",2.56,1417,597,2.84,"Medicine",0,2,1,4,5,0,50900,10,2,"Entry",2,"No","Medio"
"S00067",20,"Male",2.89,1168,463,2.14,"Mathematics",0,7,2,10,7,1,73700,1,4,"Mid",8,"Yes","Alto"
"S00068",18,"Male",3.58,918,783,3.49,"Mathematics",1,0,3,8,8,3,25000,2,1,"Mid",7,"No","Bajo"
"S00071",25,"Male",2.31,1363,236,2.24,"Medicine",4,3,4,9,2,4,25000,8,2,"Entry",7,"No","Bajo"
"S00073",19,"Male",2.79,1057,39,2.37,"Medicine",4,7,5,2,5,3,68900,1,5,"Senior",10,"No","Alto"
"S00075",23,"Female",3.16,1470,718,3.78,"Mathematics",4,1,5,4,1,5,25000,9,3,"Executive",3,"No","Bajo"
"S00077",21,"Female",2.34,1236,699,3.45,"Mathematics",4,9,1,6,9,4,74400,9,4,"Mid",9,"No","Alto"
"S00078",23,"Male",2.45,1570,645,2.17,"Mathematics",0,8,0,2,7,4,71500,5,1,"Entry",6,"No","Alto"
"S00081",29,"Male",3.03,1546,767,3.96,"Medicine",3,4,3,2,3,2,51200,3,3,"Entry",5,"No","Medio"
"S00082",19,"Male",2.34,1467,143,3.69,"Mathematics",1,6,4,9,3,2,37900,2,3,"Entry",8,"No","Medio"
"S00091",19,"Male",3.21,1232,988,2.98,"Medicine",2,4,0,2,5,4,62300,2,1,"Senior",2,"No","Alto"
"S00094",27,"Male",3.43,1405,32,2.17,"Mathematics",0,7,0,2,2,5,79900,8,5,"Entry",5,"No","Alto"
"S00096",29,"Other",3.41,1328,339,3.67,"Mathematics",0,4,5,10,7,5,50900,2,1,"Entry",5,"No","Medio"
"S00103",26,"Other",3.17,1163,898,2.14,"Medicine",3,3,2,5,3,3,74000,1,4,"Entry",9,"No","Alto"
"S00104",25,"Male",3.08,1085,88,2.64,"Mathematics",4,4,4,1,9,0,70200,6,3,"Entry",10,"No","Alto"
"S00113",20,"Male",2.7,917,270,3.4,"Mathematics",4,3,2,7,1,2,58300,3,3,"Entry",6,"No","Medio"
"S00116",28,"Female",2.1,916,78,3.79,"Medicine",2,3,0,4,4,4,89100,9,5,"Senior",3,"Yes","Alto"
"S00117",22,"Male",3.55,1342,592,2.76,"Medicine",2,8,0,2,1,4,49500,8,2,"Entry",7,"No","Medio"
"S00119",24,"Male",3.52,1207,468,3.2,"Mathematics",1,3,5,2,6,2,67600,9,5,"Entry",9,"No","Alto"
"S00122",29,"Female",2.51,1325,186,2.04,"Medicine",0,7,1,7,2,2,54100,2,3,"Senior",5,"No","Medio"
"S00125",25,"Female",2.26,1349,592,2.35,"Mathematics",4,8,0,10,5,5,76000,8,5,"Entry",8,"No","Alto"
"S00126",29,"Female",2.62,1250,718,3.21,"Mathematics",1,0,5,9,3,4,41100,8,5,"Entry",1,"No","Medio"
"S00130",24,"Female",2.26,1392,410,3.55,"Mathematics",0,8,1,8,6,4,37600,5,1,"Entry",4,"No","Medio"
"S00131",25,"Female",2.4,1487,358,3.05,"Medicine",1,9,2,8,9,4,85500,9,5,"Entry",7,"No","Alto"
"S00136",23,"Male",2.49,1194,557,2.37,"Medicine",4,0,5,6,2,1,52000,8,1,"Mid",1,"No","Medio"
"S00140",20,"Female",2.83,914,948,2.83,"Medicine",1,5,4,3,8,2,36100,3,3,"Senior",7,"No","Medio"
"S00142",20,"Female",2.41,1287,487,3.82,"Mathematics",1,5,5,5,8,2,56900,7,3,"Senior",8,"No","Medio"
"S00145",27,"Other",2.36,1404,156,3.18,"Medicine",4,0,0,3,1,0,61500,7,5,"Mid",3,"Yes","Alto"
"S00151",27,"Male",3.35,1078,663,3.79,"Medicine",0,5,5,6,2,0,25000,2,3,"Entry",2,"No","Bajo"
"S00154",24,"Male",2.88,1181,754,3.38,"Mathematics",4,4,0,6,9,4,36300,3,4,"Entry",7,"No","Medio"
"S00155",18,"Female",3.89,1063,143,3.9,"Mathematics",2,8,4,2,5,3,39000,7,3,"Senior",6,"Yes","Medio"
"S00157",21,"Female",3.29,996,299,3.67,"Medicine",2,3,5,5,6,2,52200,2,2,"Mid",4,"Yes","Medio"
"S00161",28,"Male",3.92,1148,673,2.96,"Mathematics",1,5,4,10,10,0,66900,5,1,"Mid",4,"No","Alto"
"S00163",24,"Female",2.54,1150,567,2.49,"Medicine",4,9,2,1,5,3,39300,3,4,"Entry",3,"Yes","Medio"
"S00164",28,"Female",3.61,1022,423,3.07,"Medicine",2,8,3,4,1,3,32800,1,5,"Entry",1,"No","Medio"
"S00166",23,"Female",2.51,1580,884,2.9,"Mathematics",4,0,4,2,6,5,46400,4,5,"Mid",9,"No","Medio"
"S00168",19,"Female",3.04,1586,31,3.74,"Medicine",1,2,3,4,7,2,37100,10,1,"Entry",2,"No","Medio"
"S00170",26,"Male",2.03,958,949,3.95,"Mathematics",2,6,5,6,4,0,26500,3,2,"Entry",8,"Yes","Bajo"
"S00171",22,"Male",2.44,1397,802,2.15,"Mathematics",4,7,5,5,9,2,79900,4,4,"Entry",2,"No","Alto"
"S00174",29,"Female",2.34,1552,308,3.2,"Mathematics",2,6,5,7,2,2,44900,5,4,"Entry",10,"No","Medio"
"S00176",29,"Female",3.41,1117,185,2.95,"Mathematics",1,4,5,3,7,2,68800,5,5,"Entry",4,"No","Alto"
"S00179",27,"Female",3.31,1549,441,3.7,"Mathematics",1,3,3,9,2,2,31400,9,4,"Mid",1,"No","Medio"
"S00181",29,"Male",2.01,1500,391,3.35,"Mathematics",0,2,2,6,9,5,59500,3,1,"Mid",4,"No","Medio"
"S00193",23,"Female",2.94,1544,119,3.85,"Mathematics",0,1,1,3,2,5,27800,2,2,"Entry",10,"No","Bajo"
"S00195",28,"Female",2.37,1404,923,3.01,"Medicine",3,7,3,4,2,2,72200,7,3,"Entry",4,"No","Alto"
"S00198",18,"Female",3.11,1547,785,3.67,"Medicine",4,9,2,4,5,1,75000,10,5,"Mid",2,"Yes","Alto"
"S00200",27,"Female",2.63,1557,738,2.13,"Mathematics",2,2,5,1,3,4,44800,3,3,"Mid",2,"No","Medio"
"S00208",18,"Male",3.19,1390,181,2.51,"Medicine",2,1,0,7,3,5,52000,8,5,"Senior",4,"No","Medio"
"S00212",29,"Male",3.3,1002,47,2.67,"Medicine",2,9,1,4,7,1,57300,8,3,"Mid",8,"No","Medio"
"S00215",20,"Female",2.64,1550,634,2.85,"Medicine",1,6,3,1,4,5,48100,2,1,"Entry",10,"No","Medio"
"S00220",18,"Male",3.69,1446,540,2.66,"Mathematics",2,5,2,2,7,2,72900,8,5,"Entry",3,"No","Alto"
"S00221",28,"Male",2.9,1138,427,2.24,"Medicine",2,9,4,8,6,2,58600,10,2,"Entry",9,"No","Medio"
"S00224",19,"Male",2.85,1522,561,2.8,"Mathematics",0,2,4,6,10,1,35300,4,5,"Mid",4,"No","Medio"
"S00225",29,"Male",3.07,1307,854,2.21,"Medicine",3,8,2,1,7,1,67200,3,3,"Mid",6,"No","Alto"
"S00233",22,"Male",3.11,1073,634,2.87,"Medicine",4,3,5,7,2,5,25000,5,4,"Entry",6,"No","Bajo"
"S00236",23,"Male",2.65,1407,583,2.25,"Medicine",1,5,1,4,10,0,36000,1,5,"Entry",5,"Yes","Medio"
"S00245",25,"Female",2.8,1417,621,3,"Medicine",3,9,2,1,9,2,43300,7,1,"Entry",6,"Yes","Medio"
"S00251",28,"Female",3.83,1489,248,2.75,"Mathematics",4,0,4,1,6,1,45300,3,4,"Senior",5,"Yes","Medio"
"S00257",20,"Male",2.13,962,30,3.42,"Medicine",0,4,5,7,6,3,58300,8,2,"Senior",1,"No","Medio"
"S00263",27,"Male",3.31,1196,985,3.16,"Mathematics",3,4,2,1,6,1,32900,5,4,"Entry",7,"No","Medio"
"S00264",20,"Male",3.76,1144,482,3.97,"Medicine",2,0,0,7,4,1,38100,7,2,"Senior",4,"No","Medio"
"S00270",18,"Female",2.55,1545,168,3.43,"Mathematics",0,3,0,4,6,3,49700,2,1,"Entry",9,"No","Medio"
