"startup_name","industry","funding_rounds","funding_amount_m_usd","valuation_m_usd","revenue_m_usd","employees","market_share_percent","profitable","year_founded","region","exit_status","funding_amount_m_usd_category"
"Startup_49","FinTech","2",231.39,2903.05,30.01,345,7.65,"1",2017,"South America","Private","[150-250)"
"Startup_52","E-Commerce","1",287.61,4110.09,49.67,1561,5.49,"1",2020,"South America","Private",">=250"
"Startup_79","FinTech","2",211.63,2183.59,5.08,3167,0.71,"1",2021,"Asia","Private","[150-250)"
"Startup_121","E-Commerce","3",136.82,1936.72,97.96,3124,7.83,"1",2019,"North America","Private","[50-150)"
"Startup_160","FinTech","2",1.5,19.07,34.04,2699,5.39,"1",2017,"Australia","Private","[0-50)"
"Startup_175","E-Commerce","1",176.77,1870.97,9.51,4647,8.18,"1",2016,"Europe","Acquired","[150-250)"
"Startup_190","FinTech","3",11.5,141.12,27.72,3761,9.36,"1",2018,"Asia","Private","[0-50)"
"Startup_198","FinTech","3",157.75,1310.73,16.69,4550,6.81,"1",2021,"Australia","Acquired","[150-250)"
"Startup_220","E-Commerce","2",84.78,427.78,32.37,187,1.98,"1",2021,"Asia","Private","[50-150)"
"Startup_243","FinTech","1",48.54,182.38,87.99,2442,3.8,"1",2017,"North America","Private","[0-50)"
"Startup_264","FinTech","1",98.27,1089.98,0.48,3801,9.37,"1",2017,"North America","Private","[50-150)"
"Startup_314","E-Commerce","4",288.99,1125.78,12.11,239,2.99,"1",2021,"Australia","Private",">=250"
"Startup_315","E-Commerce","5",9.88,122.44,6.93,1553,7.73,"1",2022,"Australia","Private","[0-50)"
"Startup_361","E-Commerce","5",292.42,3721.99,64,1529,2.62,"1",2016,"South America","IPO",">=250"
"Startup_418","E-Commerce","5",141.32,2051.67,71.87,1728,6.82,"1",2016,"North America","Private","[50-150)"
"Startup_452","E-Commerce","1",297.64,3565.22,99.13,4963,2.11,"1",2019,"South America","IPO",">=250"
"Startup_457","E-Commerce","5",250.88,3020.16,8.53,1895,8.22,"1",2019,"Asia","Acquired",">=250"
"Startup_492","E-Commerce","3",284.6,2135.39,37.95,3624,3.8,"1",2020,"North America","Private",">=250"
