"Genérico","Especificación","MIN","Q1","Mediana","Q3","MAX"
"Aguacate","HASS, A GRANEL",48.73375,49.81375,58.06875,63.80375,80.57875
"Azúcar","ESTANDAR, A GRANEL",22.9114285714286,23.3857142857143,26.9114285714286,30.25,32.9642857142857
"Cebolla","BLANCA, A GRANEL",16.96,19.45125,21.185,28.17,48.485
"Cerveza","TECATE, CLARA, ORIGINAL, BOTELLA DE 1200 ML",27.39,28.33,28.33,29.37,30.83
"Cigarrillos","PALL MALL , C/FILTRO, RED, CAJETILLA DE 25 PZAS",65,68,68,68,75
"Electricidad","CONSUMO DE 250 KWH",286.55,291.9,297.425,303.08,308.01
"Frijol","MP, PINTO, BOLSA DE 900 GR",22.22,25,33.33,33.33,39.44
"Gasolina de bajo octanaje","INDICE DE LA CIUDAD",89.27,89.3,107.14,115.51,118.1
"Renta de vivienda","INDICE DE LA CIUDAD",89.27,89.3,107.14,115.51,118.1
"Servicio de telefonía móvil","INDICE DE LA CIUDAD",89.27,89.3,107.14,115.51,118.1
"Huevo","BLANCO, A GRANEL",36.3766666666667,39.5433333333333,42.82,47.8975,49.4075
"Jitomate","SALADETTE, A GRANEL",20.8125,22.3375,25.74375,29.5875,53.66
"Leche pasteurizada y fresca","FORTI LECHE, RECONSTITUIDA, BOTE DE 1 LT",19.5,20.5,20.5,20.55,21.5
"Leche pasteurizada y fresca","GREAT VALUE MP, ULTRAPASTEURIZADA, BOTE DE 1 LT",19.5,20.5,20.5,23.45,23.5
"Limón","PERSA, A GRANEL",17.97,21.88,26.43,30.51,43.83
"Naranja","VALENCIA, A GRANEL",15.9733333333333,18.5333333333333,19.6922222222222,22.4955555555556,26.7188888888889
"Otros servicios para el hogar","CUOTAS DE ADMINISTRACION, DE UNIDAD HAB",100,100,100,100,100
"Papaya","MARADOL, A GRANEL",24.21625,25.2475,26.115,26.51,30.2
"Plátanos","TABASCO, A GRANEL",17.224,18.952,20.496,21.816,24.57
"Pollo","BACHOCO, ENTERO, A GRANEL",37.5,40,42.25,44,49
"Refrescos envasados","JARRITOS, REFRESCO, BOTELLA DE 2000 ML",9.75,9.75,10.5,11,11
"Universidad","COLEGIATURAS, INSCRIPCION Y OTRAS CUOTAS PARA UN CICLO",4600.47166666667,4668.26333333333,4743.26333333333,4759.93,4794
