"Año","Mes","Genérico","Especificación","Precio.promedio"
2023,1,"Aguacate","HASS, A GRANEL",50.42875
2023,1,"Azúcar","ESTANDAR, A GRANEL",23.2542857142857
2023,1,"Cebolla","BLANCA, A GRANEL",20.77875
2023,1,"Cerveza","TECATE, CLARA, ORIGINAL, BOTELLA DE 1200 ML",28.33
2023,1,"Cigarrillos","PALL MALL , C/FILTRO, RED, CAJETILLA DE 25 PZAS",65
2023,1,"Electricidad","CONSUMO DE 250 KWH",286.55
2023,1,"Frijol","MP, PINTO, BOLSA DE 900 GR",33.33
2023,1,"Gasolina de bajo octanaje","INDICE DE LA CIUDAD",114.41
2023,1,"Huevo","BLANCO, A GRANEL",42.82
2023,1,"Jitomate","SALADETTE, A GRANEL",31.2625
2023,1,"Leche pasteurizada y fresca","FORTI LECHE, RECONSTITUIDA, BOTE DE 1 LT",19.5
2023,1,"Leche pasteurizada y fresca","GREAT VALUE MP, ULTRAPASTEURIZADA, BOTE DE 1 LT",19.5
2023,1,"Limón","PERSA, A GRANEL",21.88
2023,1,"Naranja","VALENCIA, A GRANEL",16.0733333333333
2023,1,"Otros servicios para el hogar","CUOTAS DE ADMINISTRACION, DE UNIDAD HAB",100
2023,1,"Papaya","MARADOL, A GRANEL",24.21625
2023,1,"Plátanos","TABASCO, A GRANEL",18.952
2023,1,"Pollo","BACHOCO, ENTERO, A GRANEL",44.25
2023,1,"Refrescos envasados","JARRITOS, REFRESCO, BOTELLA DE 2000 ML",10.5
2023,1,"Renta de vivienda","INDICE DE LA CIUDAD",105.55
2023,1,"Servicio de telefonía móvil","INDICE DE LA CIUDAD",89.3
2023,1,"Universidad","COLEGIATURAS, INSCRIPCION Y OTRAS CUOTAS PARA UN CICLO",4600.47166666667
2023,2,"Aguacate","HASS, A GRANEL",49.21875
2023,2,"Azúcar","ESTANDAR, A GRANEL",23.1928571428571
2023,2,"Cebolla","BLANCA, A GRANEL",21.185
2023,2,"Cerveza","TECATE, CLARA, ORIGINAL, BOTELLA DE 1200 ML",28.33
2023,2,"Cigarrillos","PALL MALL , C/FILTRO, RED, CAJETILLA DE 25 PZAS",65
2023,2,"Electricidad","CONSUMO DE 250 KWH",288.335
2023,2,"Frijol","MP, PINTO, BOLSA DE 900 GR",33.33
2023,2,"Gasolina de bajo octanaje","INDICE DE LA CIUDAD",114.64
2023,2,"Huevo","BLANCO, A GRANEL",47.8975
2023,2,"Jitomate","SALADETTE, A GRANEL",26.6875
2023,2,"Leche pasteurizada y fresca","FORTI LECHE, RECONSTITUIDA, BOTE DE 1 LT",19.5
2023,2,"Leche pasteurizada y fresca","GREAT VALUE MP, ULTRAPASTEURIZADA, BOTE DE 1 LT",20.13
2023,2,"Limón","PERSA, A GRANEL",30.51
2023,2,"Naranja","VALENCIA, A GRANEL",15.9733333333333
2023,2,"Otros servicios para el hogar","CUOTAS DE ADMINISTRACION, DE UNIDAD HAB",100
2023,2,"Papaya","MARADOL, A GRANEL",25.61
2023,2,"Plátanos","TABASCO, A GRANEL",23.942
2023,2,"Pollo","BACHOCO, ENTERO, A GRANEL",44
2023,2,"Refrescos envasados","JARRITOS, REFRESCO, BOTELLA DE 2000 ML",10.5
2023,2,"Renta de vivienda","INDICE DE LA CIUDAD",105.69
2023,2,"Servicio de telefonía móvil","INDICE DE LA CIUDAD",89.3
2023,2,"Universidad","COLEGIATURAS, INSCRIPCION Y OTRAS CUOTAS PARA UN CICLO",4743.26333333333
2023,3,"Aguacate","HASS, A GRANEL",49.81375
2023,3,"Azúcar","ESTANDAR, A GRANEL",22.9114285714286
2023,3,"Cebolla","BLANCA, A GRANEL",19.45125
2023,3,"Cerveza","TECATE, CLARA, ORIGINAL, BOTELLA DE 1200 ML",28.33
2023,3,"Cigarrillos","PALL MALL , C/FILTRO, RED, CAJETILLA DE 25 PZAS",66.5
2023,3,"Electricidad","CONSUMO DE 250 KWH",290.115
2023,3,"Frijol","MP, PINTO, BOLSA DE 900 GR",33.33
2023,3,"Gasolina de bajo octanaje","INDICE DE LA CIUDAD",115.1
2023,3,"Huevo","BLANCO, A GRANEL",48.3525
2023,3,"Jitomate","SALADETTE, A GRANEL",25.25625
2023,3,"Leche pasteurizada y fresca","FORTI LECHE, RECONSTITUIDA, BOTE DE 1 LT",20.55
2023,3,"Leche pasteurizada y fresca","GREAT VALUE MP, ULTRAPASTEURIZADA, BOTE DE 1 LT",20.5
2023,3,"Limón","PERSA, A GRANEL",43.83
2023,3,"Naranja","VALENCIA, A GRANEL",17.1822222222222
2023,3,"Otros servicios para el hogar","CUOTAS DE ADMINISTRACION, DE UNIDAD HAB",100
2023,3,"Papaya","MARADOL, A GRANEL",25.2475
2023,3,"Plátanos","TABASCO, A GRANEL",24.57
2023,3,"Pollo","BACHOCO, ENTERO, A GRANEL",46
2023,3,"Refrescos envasados","JARRITOS, REFRESCO, BOTELLA DE 2000 ML",10.58
2023,3,"Renta de vivienda","INDICE DE LA CIUDAD",106.02
2023,3,"Servicio de telefonía móvil","INDICE DE LA CIUDAD",89.3
2023,3,"Universidad","COLEGIATURAS, INSCRIPCION Y OTRAS CUOTAS PARA UN CICLO",4668.26333333333
2023,4,"Aguacate","HASS, A GRANEL",59.41625
2023,4,"Azúcar","ESTANDAR, A GRANEL",23.3857142857143
2023,4,"Cebolla","BLANCA, A GRANEL",18.01375
2023,4,"Cerveza","TECATE, CLARA, ORIGINAL, BOTELLA DE 1200 ML",28.64
2023,4,"Cigarrillos","PALL MALL , C/FILTRO, RED, CAJETILLA DE 25 PZAS",68
2023,4,"Electricidad","CONSUMO DE 250 KWH",291.9
2023,4,"Frijol","MP, PINTO, BOLSA DE 900 GR",33.33
2023,4,"Gasolina de bajo octanaje","INDICE DE LA CIUDAD",115.92
2023,4,"Huevo","BLANCO, A GRANEL",49.115
2023,4,"Jitomate","SALADETTE, A GRANEL",22.3375
2023,4,"Leche pasteurizada y fresca","FORTI LECHE, RECONSTITUIDA, BOTE DE 1 LT",20.5
2023,4,"Leche pasteurizada y fresca","GREAT VALUE MP, ULTRAPASTEURIZADA, BOTE DE 1 LT",20.5
2023,4,"Limón","PERSA, A GRANEL",40.53
2023,4,"Naranja","VALENCIA, A GRANEL",20.1344444444444
2023,4,"Otros servicios para el hogar","CUOTAS DE ADMINISTRACION, DE UNIDAD HAB",100
2023,4,"Papaya","MARADOL, A GRANEL",25.125
2023,4,"Plátanos","TABASCO, A GRANEL",21.226
2023,4,"Pollo","BACHOCO, ENTERO, A GRANEL",49
2023,4,"Refrescos envasados","JARRITOS, REFRESCO, BOTELLA DE 2000 ML",10.83
2023,4,"Renta de vivienda","INDICE DE LA CIUDAD",106.33
2023,4,"Servicio de telefonía móvil","INDICE DE LA CIUDAD",89.3
2023,4,"Universidad","COLEGIATURAS, INSCRIPCION Y OTRAS CUOTAS PARA UN CICLO",4668.26333333333
2023,5,"Aguacate","HASS, A GRANEL",58.06875
2023,5,"Azúcar","ESTANDAR, A GRANEL",24.7071428571429
2023,5,"Cebolla","BLANCA, A GRANEL",17.30625
2023,5,"Cerveza","TECATE, CLARA, ORIGINAL, BOTELLA DE 1200 ML",29.29
2023,5,"Cigarrillos","PALL MALL , C/FILTRO, RED, CAJETILLA DE 25 PZAS",68
2023,5,"Electricidad","CONSUMO DE 250 KWH",293.74
2023,5,"Frijol","MP, PINTO, BOLSA DE 900 GR",25
2023,5,"Gasolina de bajo octanaje","INDICE DE LA CIUDAD",116.12
2023,5,"Huevo","BLANCO, A GRANEL",49.4075
2023,5,"Jitomate","SALADETTE, A GRANEL",20.8125
2023,5,"Leche pasteurizada y fresca","FORTI LECHE, RECONSTITUIDA, BOTE DE 1 LT",20.5
2023,5,"Leche pasteurizada y fresca","GREAT VALUE MP, ULTRAPASTEURIZADA, BOTE DE 1 LT",20.5
2023,5,"Limón","PERSA, A GRANEL",25.676
2023,5,"Naranja","VALENCIA, A GRANEL",22.4955555555556
2023,5,"Otros servicios para el hogar","CUOTAS DE ADMINISTRACION, DE UNIDAD HAB",100
2023,5,"Papaya","MARADOL, A GRANEL",26.1475
2023,5,"Plátanos","TABASCO, A GRANEL",20.836
2023,5,"Pollo","BACHOCO, ENTERO, A GRANEL",40.5
2023,5,"Refrescos envasados","JARRITOS, REFRESCO, BOTELLA DE 2000 ML",11
2023,5,"Renta de vivienda","INDICE DE LA CIUDAD",106.65
2023,5,"Servicio de telefonía móvil","INDICE DE LA CIUDAD",89.3
2023,5,"Universidad","COLEGIATURAS, INSCRIPCION Y OTRAS CUOTAS PARA UN CICLO",4668.26333333333
2023,6,"Aguacate","HASS, A GRANEL",65.00375
2023,6,"Azúcar","ESTANDAR, A GRANEL",26.49
2023,6,"Cebolla","BLANCA, A GRANEL",16.96
2023,6,"Cerveza","TECATE, CLARA, ORIGINAL, BOTELLA DE 1200 ML",28.08
2023,6,"Cigarrillos","PALL MALL , C/FILTRO, RED, CAJETILLA DE 25 PZAS",68
2023,6,"Electricidad","CONSUMO DE 250 KWH",295.585
2023,6,"Frijol","MP, PINTO, BOLSA DE 900 GR",22.22
2023,6,"Gasolina de bajo octanaje","INDICE DE LA CIUDAD",116.71
2023,6,"Huevo","BLANCO, A GRANEL",39.0075
2023,6,"Jitomate","SALADETTE, A GRANEL",21.9375
